,EAST,WEST,NORTH,COAST
8192,1457.827439,1077.170412,1046.069825,11641.271492
8193,1546.087466,1086.122062,1043.939437,12102.564462
8194,1610.531623,1101.527456,1030.689192,12662.358936
8195,1657.247887,1101.532666,1025.96765,13136.989105
8196,1675.838016,1122.219586,1011.488279,13484.954228
8197,1728.075714,1128.609185,1006.25688,13874.092305
8198,1726.706389,1132.704945,1006.866663,14038.422688
8199,1717.71126,1141.909185,1010.592621,14010.47332
8200,1711.601694,1159.967501,1018.632952,13721.036217
8201,1712.668925,1203.279792,1046.395105,13576.958532
8202,1741.646461,1240.959199,1072.943276,13498.189478
8203,1710.310142,1223.461929,1064.070404,13071.814706
8204,1652.099182,1208.198197,1048.991208,12800.90549
8205,1583.846783,1172.188607,1020.774944,12424.837186
8206,1470.458105,1101.608212,968.53842,11720.658871
8207,1362.152004,1040.620278,927.267568,11038.071036
8208,1278.824699,996.866276,908.10848,10461.202077
8209,1227.313201,986.98484,886.180996,10115.562824
8210,1186.261566,986.8385,874.672634,9925.904297
8211,1172.044546,976.111615,874.742308,9861.516192
8212,1205.099722,989.171145,894.547698,10004.535414
8213,1252.347894,1014.868691,936.293075,10414.941375
8214,1342.176476,1074.727808,1006.716861,11040.349983
8215,1428.649114,1096.43913,1047.626833,11253.046005
8216,1462.418294,1085.800045,1051.628949,11422.83235
8217,1492.274236,1087.945111,1059.298079,11768.507418
8218,1534.87505,1095.415762,1062.517282,12313.549057
8219,1516.951872,1107.443124,1056.068561,12849.815805
8220,1579.173133,1118.526784,1039.346086,13324.054369
8221,1588.410944,1121.311656,1028.727895,13759.655784
8222,1643.097006,1135.378289,1031.61247,14003.1435
8223,1611.636904,1121.644459,1039.266792,13999.778223
8224,1595.777659,1121.903715,1043.718565,13632.074263
8225,1628.908553,1136.131692,1072.449891,13452.595182
8226,1635.25518,1158.915205,1080.655604,13153.383375
8227,1597.57371,1139.31405,1065.415221,12722.134875
8228,1548.465271,1125.765836,1056.783994,12343.377543
8229,1512.625611,1097.605054,1019.494614,11949.78608
8230,1406.201246,1062.28752,983.152184,11485.708673
8231,1309.323117,1027.499677,937.169415,10844.495762
8232,1251.858236,1038.213539,905.335715,10299.932712
8233,1215.856974,1022.468528,881.002828,9960.422737
8234,1161.353333,1010.752512,823.370683,9712.636418
8235,1109.698851,1006.705418,788.60632,9507.604573
8236,1097.808961,1025.81321,797.106108,9447.755245
8237,1106.143343,1035.856669,804.076995,9501.507889
8238,1145.299392,1083.290178,861.362894,9755.642618
8239,1191.305025,1118.904023,935.371076,9958.254108
8240,1250.526487,1117.154083,958.497659,10405.374521
8241,1332.90694,1132.546431,982.931383,11082.165981
8242,1413.542863,1147.990394,998.60262,11815.19389
8243,1448.257011,1138.147828,996.806681,12293.858892
8244,1490.059743,1111.792685,985.581829,12565.582466
8245,1500.144927,1103.091768,981.526183,12822.237448
8246,1486.106209,1086.902397,978.18701,12769.747397
8247,1482.675352,1087.137733,983.806264,12562.887043
8248,1480.190768,1096.695321,1002.272803,12353.14032
8249,1521.189191,1126.820026,973.064593,12437.973178
8250,1528.017127,1158.939108,983.552495,12467.348763
8251,1481.110828,1154.855574,1001.705281,12153.41273
8252,1446.492937,1136.715077,1041.867699,11863.033151
8253,1400.458798,1118.48569,1032.370212,11562.84925
8254,1330.995256,1090.024181,993.057834,11221.366979
8255,1249.461664,1057.983827,955.24833,10857.366787
8256,1171.528237,1050.063225,878.423468,10474.967084
8257,1133.761399,1039.377551,895.805065,10140.0198
8258,1109.354948,1009.193775,930.000705,9871.724763
8259,1109.968761,1006.393503,915.293089,9688.036282
8260,1123.915245,1001.031471,917.333318,9508.81669
8261,1156.150692,1023.016009,936.431924,9375.034574
8262,1202.241971,1045.67818,945.622025,9265.38139
8263,1281.605848,1090.3955,928.041887,9414.845098
8264,1363.009704,1118.773411,968.720399,9697.023662
8265,1403.219334,1126.036254,1042.870828,10007.680194
8266,1422.204637,1124.211928,1043.84237,10443.236509
8267,1426.562719,1127.398528,1032.200887,11049.646553
8268,1433.89656,1112.087739,1017.162882,11394.620272
8269,1429.814951,1090.431726,992.58681,11414.579023
8270,1427.447233,1063.80157,980.724966,11362.32908
8271,1445.085045,1059.886212,987.429188,11317.087095
8272,1485.602666,1070.737465,1004.391809,11241.601469
8273,1578.883357,1110.937165,1055.37086,11489.354472
8274,1633.487404,1159.71127,1058.193941,11706.223783
8275,1627.719322,1147.978789,1009.536843,11606.441345
8276,1608.534158,1137.742667,995.946191,11451.05044
8277,1560.039638,1112.484541,965.762952,11107.976507
8278,1476.706894,1054.884571,915.441826,10619.002296
8279,1391.647032,1007.765577,873.435235,10091.140637
8280,1149.833543,969.240793,842.131051,9763.23127
8281,1113.723882,941.648894,865.89049,9378.998482
8282,1096.042199,938.026256,881.240336,9204.605064
8283,1102.968339,933.474532,883.569426,9184.23652
8284,1139.83658,945.106263,897.360734,9380.539511
8285,1231.967136,987.566821,942.170225,9877.182762
8286,1391.42971,1072.317348,1031.943955,10571.540736
8287,1448.60153,1116.566194,1071.237559,10881.908642
8288,1450.035106,1122.246914,1079.977795,11144.162561
8289,1452.269902,1127.336268,1092.241667,11449.073442
8290,1453.209023,1123.567035,1099.037915,11659.9709
8291,1447.920807,1122.298711,1098.492669,11878.151524
8292,1437.070956,1111.119985,1083.20781,11896.435288
8293,1430.408633,1108.413227,1075.097093,11941.116559
8294,1414.390958,1104.394619,1068.708342,11956.843129
8295,1414.759161,1110.819919,1071.195105,12008.658302
8296,1443.871402,1122.927478,1081.614108,12037.365479
8297,1505.725393,1140.339161,1110.873343,12296.675587
8298,1566.984699,1179.054813,1133.328414,12420.147879
8299,1556.065969,1174.046604,1120.593286,12313.200857
8300,1526.168376,1153.077596,1105.756237,12177.691191
8301,1467.603648,1126.052957,1071.606783,11849.171327
8302,1365.443483,1083.309313,1011.736134,11376.907307
8303,1265.634017,1030.184545,956.513593,10784.758119
8304,1191.613871,1003.988123,918.819921,10307.966929
8305,1140.903867,977.5256,898.672094,10008.649562
8306,1110.937198,964.524087,889.793203,9829.316726
8307,1099.590215,958.146544,887.714161,9773.167688
8308,1125.712954,964.38138,894.498181,9931.236281
8309,1204.596849,997.747477,933.577394,10425.128426
8310,1338.984266,1072.771781,1012.944452,11154.629867
8311,1383.416905,1124.358402,1055.068249,11454.888561
8312,1419.209965,1126.881891,1066.688939,11801.562479
8313,1452.606068,1130.924166,1082.314274,12194.49693
8314,1482.237937,1126.1593,1074.615115,12626.488485
8315,1485.933079,1124.193263,1053.101346,12935.542599
8316,1486.528113,1127.426147,1042.157072,13232.264177
8317,1495.86997,1130.454204,1038.779542,13446.727281
8318,1490.548529,1132.065249,1034.482889,13343.602264
8319,1475.885399,1136.425343,1031.58699,13273.278895
8320,1495.207091,1142.615192,1038.310639,13310.240865
8321,1518.366714,1145.168679,1054.316971,13474.414995
8322,1539.857137,1193.313053,1037.094873,13443.11153
8323,1509.465011,1205.99512,1062.40355,13228.608927
8324,1470.503343,1203.691033,1103.115174,12931.93026
8325,1416.649428,1188.63139,1091.724755,12572.784847
8326,1314.932256,1141.815236,1046.517836,11738.586247
8327,1221.36226,1102.469105,1010.993306,10941.312366
8328,1254.482545,1060.235156,990.41768,10152.310089
8329,1201.403187,1037.259483,973.997861,9648.120336
8330,1186.509836,1031.161095,968.147071,9320.531399
8331,1183.243146,1037.511382,976.093961,9208.823589
8332,1206.492077,1053.63475,993.523553,9286.294312
8333,1295.220286,1106.611069,1045.122968,9648.803055
8334,1444.598768,1201.898076,1136.708762,10261.57911
8335,1500.066403,1252.359365,1184.999464,10622.126273
8336,1521.378691,1235.272748,1122.000558,10769.277834
8337,1548.685573,1218.151598,1113.762101,10908.947168
8338,1557.158676,1192.958818,1103.52132,11002.254042
8339,1544.500031,1164.472302,1110.290013,11024.122608
8340,1504.05681,1137.154243,1112.748523,10904.023735
8341,1475.991634,1115.975442,1093.160235,10918.264915
8342,1452.008178,1090.901569,1071.088841,10972.965965
8343,1433.973495,1071.315167,1063.874439,11049.658915
8344,1465.013448,1099.588351,1081.092632,11038.53959
8345,1558.92106,1169.07253,1149.216407,11231.255198
8346,1654.179131,1257.185635,1213.834924,11389.327117
8347,1673.41226,1300.2547,1228.158537,11241.646075
8348,1682.334872,1322.628382,1223.87044,11066.940505
8349,1648.152064,1308.850327,1201.98384,10757.360413
8350,1569.872707,1266.158445,1167.256964,10270.699059
8351,1498.394226,1226.85234,1100.06185,9764.756846
8352,1468.580804,1201.616743,1099.331905,9368.209243
8353,1457.0515,1204.285729,1092.077124,9191.074741
8354,1463.464286,1225.612911,1099.257316,9111.141427
8355,1506.502016,1249.934839,1112.925597,9198.307924
8356,1584.993022,1290.463998,1140.090227,9514.809478
8357,1733.725557,1367.561667,1204.534403,10176.647535
8358,1954.647959,1492.03641,1300.115856,11168.07964
